Users,Number of Posts,Number of Followers,Number of Followings,Number of Likes for the Tenth Previous Post,Number of Likes for the Eleventh Previous Post,Number of Likes for the Twelfth Previous Post,Number of Self-Presenting Posts from Nine Previous Posts, Gender
User-422,549,"7,319",481,159,205,126,6,f
User-423,546,"3,213","2,484",133,111,125,4,f
User-424,116,752,"3,061",146,127,190,3,f
User-425,"1,024","8,582",688,1513,375,392,8,f
User-426,186,"1,578",901,224,267,380,7,f
User-427,315,"3,625","2,616",134,143,134,8,f
User-428,928,899,"2,372",20,8,10,7,m
User-429,218,959,781,148,208,174,7,f
User-430,95,"3,174","1,837",427,566,563,7,f
User-431,93,789,524,238,264,247,9,f
User-432,77,"1,001",584,164,236,194,9,m
User-433,122,"1,524",484,191,222,183,9,f
User-434,802,"7,634","5,732",156,139,207,0,f
User-435,72,135,720,0,1,1,5,m
User-436,843,"5,817",513,59,48,73,7,f
User-437,104,"5,873","2,352",927,514,736,9,f
User-438,"2,646","2,051","1,366",21,57,20,7,m
User-439,372,"1,773","2,246",47,69,39,3,f
User-440,"3,185","2,410","1,497",21,20,50,4,f
User-441,112,313,457,24,31,21,0,m
User-442,652,262,371,27,40,26,3,f
User-443,"2,676",818,716,19,14,13,2,f
User-444,171,"1,933","2,661",177,123,149,1,m
User-445,162,"3,227","6,241",65,151,91,7,m
User-446,433,"8,808","2,682",292,102,412,0,f
User-447,286,801,767,15,30,39,7,m
User-448,202,387,362,31,28,22,8,m
User-449,276,"1,463",238,15,7,23,9,m
User-450,105,"4,785","1,584",508,413,258,8,f
User-451,251,"1,212",344,42,59,33,9,f
User-452,63,375,"1,356",71,31,63,2,m
User-453,328,444,720,11,30,25,5,f
User-454,50,683,412,226,251,202,9,m
User-455,"3,858",258,656,7,28,14,0,m
User-456,631,671,"1,152",138,92,86,4,m
User-457,223,"1,002",564,61,72,67,6,f
User-458,403,689,"2,989",31,13,14,0,f
User-459,103,282,804,44,56,43,8,m
User-460,291,359,700,44,4,51,5,f
User-461,367,126,248,16,7,10,0,f
User-462,638,429,"2,524",32,31,22,3,f
User-463,467,583,"1,462",6,10,6,9,f
User-464,98,911,"4,961",69,80,35,3,f
User-465,"2,596",764,"1,126",10,3,5,1,f
User-466,403,538,"1,096",36,45,60,2,f
User-467,102,181,343,4,5,3,5,f
User-468,200,"3,541","3,426",284,210,264,9,f
User-469,"1,748","6,360","1,086",30,90,184,0,f
User-470,361,"3,096","1,524",203,158,186,7,m
User-471,348,"4,747","4,722",113,98,77,1,m
User-472,106,"6,890",800,186,191,179,4,m
User-473,358,"3,226","3,444",80,157,115,6,f
User-474,76,109,276,5,9,6,5,f
